subscription_id,user_id,plan_type,start_date,end_date
1,76,Free,6/22/2024,5/19/2025
2,291,Silver,12/8/2024,2/19/2026
3,87,Free,11/7/2024,3/31/2025
4,215,Gold,2/27/2025,2/19/2026
5,408,Free,4/6/2024,8/29/2025
6,278,Gold,10/30/2024,2/26/2026
7,361,Free,3/14/2024,8/1/2025
8,174,Gold,1/16/2025,2/24/2026
9,475,Free,8/15/2024,6/27/2025
10,417,Silver,8/1/2024,2/19/2026
11,282,Gold,12/23/2024,11/22/2025
12,278,Gold,1/4/2025,11/29/2025
13,422,Silver,10/18/2024,3/13/2025
14,433,Free,6/16/2024,7/31/2025
15,154,Gold,5/5/2024,4/18/2025
16,247,Silver,4/6/2024,3/17/2025
17,292,Gold,1/9/2025,12/11/2025
18,492,Free,2/13/2025,7/6/2025
19,25,Gold,6/15/2024,4/19/2025
20,336,Free,5/9/2024,9/3/2025
21,215,Free,12/13/2024,7/12/2025
22,214,Free,11/22/2024,11/11/2025
23,212,Free,5/3/2024,1/7/2026
24,383,Free,6/15/2024,10/5/2025
25,239,Gold,6/9/2024,9/7/2025
26,142,Free,6/2/2024,10/19/2025
27,226,Gold,5/3/2024,7/15/2025
28,97,Gold,12/19/2024,3/7/2025
29,398,Silver,2/2/2025,5/17/2025
30,148,Gold,11/17/2024,4/4/2025
31,292,Silver,6/6/2024,6/18/2025
32,431,Gold,3/11/2024,11/15/2025
33,498,Silver,9/1/2024,1/28/2026
34,375,Free,7/29/2024,6/8/2025
35,497,Free,1/14/2025,9/18/2025
36,103,Gold,8/7/2024,11/30/2025
37,135,Silver,6/6/2024,4/4/2025
38,209,Free,12/16/2024,1/23/2026
39,301,Gold,10/31/2024,3/27/2025
40,170,Silver,4/7/2024,4/6/2025
41,10,Gold,4/22/2024,11/14/2025
42,305,Silver,7/31/2024,9/3/2025
43,44,Gold,9/25/2024,6/15/2025
44,339,Gold,10/25/2024,8/23/2025
45,498,Free,8/25/2024,7/20/2025
46,299,Gold,9/19/2024,12/21/2025
47,115,Gold,5/16/2024,10/18/2025
48,468,Free,8/19/2024,4/26/2025
49,258,Silver,7/1/2024,1/17/2026
50,418,Free,7/27/2024,11/24/2025
51,474,Free,8/4/2024,2/4/2026
52,417,Gold,2/28/2025,6/9/2025
53,197,Free,12/9/2024,1/21/2026
54,220,Silver,3/4/2024,2/11/2026
55,178,Silver,7/22/2024,3/1/2025
56,355,Free,8/21/2024,7/5/2025
57,335,Free,1/1/2025,1/14/2026
58,469,Free,10/10/2024,3/8/2025
59,212,Free,7/19/2024,7/18/2025
60,442,Silver,11/5/2024,3/29/2025
61,354,Gold,12/23/2024,10/6/2025
62,156,Silver,3/2/2024,7/15/2025
63,278,Free,10/28/2024,10/14/2025
64,450,Silver,7/4/2024,12/8/2025
65,360,Silver,7/12/2024,2/4/2026
66,252,Free,12/24/2024,7/27/2025
67,146,Gold,2/16/2025,4/30/2025
68,143,Free,12/5/2024,5/3/2025
69,128,Silver,10/11/2024,10/18/2025
70,178,Gold,9/26/2024,8/2/2025
71,350,Silver,11/9/2024,5/5/2025
72,201,Free,10/27/2024,7/13/2025
73,457,Gold,2/4/2025,10/6/2025
74,107,Silver,6/4/2024,4/8/2025
75,444,Silver,9/25/2024,10/3/2025
76,249,Silver,4/25/2024,10/22/2025
77,306,Free,2/28/2025,9/9/2025
